R1532_80;size=2
R1552_78;size=1
R1_2;size=10391
R356;size=821
R922_93;size=630
R797_19;size=396
R848_130;size=337
R2457_5;size=311
R1478_46;size=220
R1418_12;size=167
R1627_47;size=159
R104_67;size=153
R1271_2;size=142
R530_111;size=129
R164_201;size=105
R917_58;size=95
R2563_8;size=80
R1092_149;size=75
R1963_7;size=75
R2125_17;size=68
R905_120;size=65
R1141_76;size=57
R1272_126;size=57
R423_191;size=56
R1121_8;size=55
R659_104;size=51
R1516_19;size=42
R1443_82;size=41
R2458_7;size=37
R316_200;size=35
R2023_10;size=34
R738_185;size=33
R1_12;size=27
R2270_6;size=26
R723_42;size=19
R2172_24;size=17
R2323_23;size=15
R1192_82;size=14
R1918_7;size=13
R1044_86;size=11
R1106_19;size=6
R1155_137;size=6
R1278_119;size=6
R2085_5;size=5
R1207_14;size=4
R1305_114;size=4
R1249_124;size=3
R1284_116;size=3
R1835_25;size=2
R2206_30;size=1
R2442_5;size=1
R1181_14;size=4
R2617_2;size=4
R756_187;size=1
R2194_24;size=1
R1410_25;size=1
R1569_32;size=1
R2282_6;size=1
R1160_5;size=3
R1714_13;size=1
R1726_13;size=1
R2950_2;size=1
R1107_144;size=1
R1358_106;size=1
R367_7;size=856
R1261_134;size=77
R2002_24;size=16
R1709_64;size=122
R1_21;size=100
R1506_64;size=82
R80_33;size=61
R1327_117;size=26
R1178_63;size=13
R237_232;size=11
R2192_32;size=3
R269_68;size=177
R854_86;size=38
R1991_27;size=15
R800_81;size=5
R831_87;size=29
R688_56;size=17
R1084_144;size=12
R172_99;size=199
R646_106;size=20
R876;size=12
R1941_45;size=2
R1863_47;size=10
R416_33;size=335
R453_118;size=124
R669_20;size=29
R627_32;size=20
R243_34;size=13
R1439_76;size=10
R2641_10;size=2
R1507_68;size=1
R3810_3;size=1
R798_136;size=81
R2222_2;size=3
R970_21;size=191
R2138_9;size=16
R1623_23;size=73
R2328_8;size=32
R866_4;size=224
R1336_124;size=11
R584_75;size=155
R1183_12;size=133
R1804_17;size=122
R2706_8;size=90
R987_48;size=54
R398_134;size=35
R982_182;size=27
R607_43;size=25
R1303_131;size=21
R1056_115;size=14
R2255_6;size=6
R1561_89;size=3
R873_60;size=3
R1204_149;size=2
R3145_3;size=2
R1240_142;size=1
R1570_87;size=2
R917;size=142
R766_133;size=61
R1019_117;size=38
R47_24;size=15
R873_127;size=13
R1145_107;size=7
R610_145;size=3
R307_68;size=47
R1045_148;size=13
R3724_3;size=8
R1363_123;size=1
R209_138;size=38
R1006_21;size=12
R1507_40;size=9
R419_94;size=2454
R1631_13;size=972
R2086_22;size=262
R602_175;size=77
R2979_4;size=44
R1460_88;size=10
R3697_3;size=6
R3811_3;size=5
R767_77;size=9
R1117_119;size=8
R866_169;size=7
R1116_88;size=6
R839_79;size=1
R1526_38;size=1
R886_124;size=50
R1727_50;size=9
R212_61;size=6
R771_181;size=6
R1639_19;size=76
R1194_133;size=5
R723_75;size=45
R31_4;size=1105
R587_4;size=235
R597_88;size=42
R452_91;size=21
R2029_4;size=10
R1372_40;size=3
R2044_3;size=3
R1461_63;size=1
R715_43;size=66
R621_86;size=2
R1123_40;size=6
R1224_64;size=4
R1407_25;size=2
R1414_25;size=1
R1469_37;size=67
R731_199;size=4
R1973_27;size=2
R1975_27;size=2
R1218_18;size=54
R528_48;size=27
R1332_14;size=18
R415_191;size=8
R1290_14;size=2
R881_22;size=1
R2316_8;size=23
R2414_6;size=6
R2422_6;size=1
R2241_9;size=4
R163_87;size=287
R723_17;size=9491
R1_133;size=541
R885_43;size=323
R1813_12;size=224
R1333_120;size=191
R1556_8;size=150
R216_8;size=147
R65_54;size=135
R2340_21;size=108
R232;size=76
R1226_12;size=40
R1238_82;size=24
R685_190;size=17
R2343_7;size=11
R2759_5;size=9
R578;size=9
R1639_39;size=7
R2608_10;size=7
R1069_36;size=5
R1676_37;size=4
R1671_37;size=2
R1680_37;size=2
R2112_4;size=2
R599_133;size=2
R885_173;size=2
R1620_47;size=1
R1658_74;size=1
R1684_72;size=1
R2441_5;size=1
R2453_5;size=1
R2602_10;size=1
R2637_10;size=1
R2638_10;size=1
R135_18;size=5263
R1299_54;size=1081
R1247_16;size=1046
R2115_4;size=627
R1_8;size=619
R6_59;size=585
R194_13;size=440
R100_4;size=379
R542_83;size=353
R1074_20;size=310
R218_2;size=240
R628_14;size=227
R524_8;size=173
