"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","auc_explain","auc_test"
225,0.3,0.7,0,1,1,0.5,"relu",0.3,0.4,0.788299114438717,0.610714290862823
226,0.2,0.9,0,0,1,0.1,"relu",0.3,0.5,0.92202949849609,0.649784541855512
227,0.2,1,0.5,0.25,2,0.5,"relu",0.5,0.3,0.697974425537584,0.604793034990686
228,0.1,0.8,0.25,1,2,0.1,"relu",0.1,0.9,0.904712167530993,0.655903894211605
229,0.1,0.7,0.5,0.75,2,0.1,"relu",0.6,0.5,0.893991090591382,0.655159990885728
230,0.3,0.8,0.75,0.75,2,0.5,"relu",0.5,1,0.715245980771363,0.621469586676404
231,0.2,0.9,0.25,1,1,0.5,"relu",0.5,0.1,0.786060722599177,0.637782123575234
232,0.2,1,0.25,1,1,0.1,"relu",0.5,0.3,0.915961058834482,0.648850049300407
233,0.2,0.8,0.5,0.25,1,0.3,"relu",0.9,0.6,0.84738404686432,0.651976695472524
234,0.2,0.9,0,0.75,2,0.5,"relu",0.3,0.8,0.760891642841881,0.584813449377589
235,0.2,0.7,0.25,1,1,0.1,"relu",0.3,0.1,0.90554455627285,0.655295746835272
236,0.1,0.8,0.25,0.5,2,0.3,"relu",0.9,0.5,0.827447708960546,0.663322432315467
237,0.3,0.7,0.75,0.5,1,0.5,"relu",0.8,0.9,0.729163040146265,0.620946439269716
238,0.3,1,0,0.75,1,0.1,"relu",0.7,0.3,0.913603162904592,0.652445795709522
239,0.3,0.8,0,0,1,0.3,"relu",1,0.6,0.880181919536604,0.653306097516803
240,0,0.7,1,0.75,1,0.1,"relu",0.2,0.4,0.885164696911119,0.645165055459632
241,0.3,0.9,0.5,0.5,1,0.3,"relu",0.9,0.6,0.848368470705341,0.657862922563977
242,0.2,1,1,0.25,1,0.3,"relu",0.7,0,0.853431537661843,0.665825703320729
243,0,0.7,0.75,0.75,2,0.3,"relu",0.1,0.4,0.843345822524998,0.659874341218718
244,0,0.9,1,0,2,0.1,"relu",0.9,0.7,0.897633100349488,0.657728141152739
245,0.2,0.7,0.75,0,1,0.3,"relu",0.7,0.2,0.843650545518749,0.666430158626067
246,0.1,0.8,0,1,1,0.3,"relu",1,0.7,0.87419302380342,0.652900508111684
247,0.2,0.8,0.5,0.75,1,0.3,"relu",0,1,0.82599209304567,0.63292683144297
248,0,0.7,0.5,0.25,2,0.5,"relu",0.9,1,0.756831684053978,0.624452670026445
