Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	percent_trimmed	bp_written
601725-M2-S1_BDSW190603069-1a_1	29416562	11123331	4412484300	15843650	0.8984296216079454	4372841234
601725-M2-S1_BDSW190603069-1a_2	29416562	11054632	4412484300	17982778	0.9606946363525871	4370093800
601725-M2-S2_BDSW190603070-2a_1	24996364	9549374	3749454600	4618903	0.5426890887010607	3729106719
601725-M2-S2_BDSW190603070-2a_2	24996364	9510938	3749454600	6616204	0.6172768967518636	3726310083
622337-M1-S1_BDSW190603071-2a_1	31477295	11937974	4721594250	7003038	0.558743225341737	4695212662
622337-M1-S1_BDSW190603071-2a_2	31477295	11956719	4721594250	8719004	0.6131260431791655	4692644926
622337-M1-S2_BDSW190603072-1a_1	32850878	12441169	4927631700	8067096	0.6137723929326943	4897387257
622337-M1-S2_BDSW190603072-1a_2	32850878	12489701	4927631700	10982355	0.7118720134867222	4892553269
642613-M1-S1_BDSW190603073-1a_1	23207262	8849354	3481089300	10475000	0.8506306057704409	3451478089
642613-M1-S1_BDSW190603073-1a_2	23207262	8778390	3481089300	11587279	0.9223385622425716	3448981871
642613-M1-S2_BDSW190603074-2a_1	23087320	8716733	3463098000	9551331	0.715030443839591	3438335795
642613-M1-S2_BDSW190603074-2a_2	23087320	8647099	3463098000	11005264	0.77062040981803	3436410660
647830-M1-S1_BDSW190603075-1a_1	26041345	9848665	3906201750	14279149	0.8709795391392674	3872179532
647830-M1-S1_BDSW190603075-1a_2	26041345	9750083	3906201750	15426526	0.9146050636017456	3870475431
647830-M1-S2_BDSW190603076-1a_1	25357374	9654008	3803606100	7603959	0.5858606915158748	3781322267
647830-M1-S2_BDSW190603076-1a_2	25357374	9619720	3803606100	8980456	0.6366764160989226	3779389437
650846-M1-S1_BDSW190603077-1a_1	30212439	11698005	4531865850	8384832	0.611459891294002	4504155308
650846-M1-S1_BDSW190603077-1a_2	30212439	11694472	4531865850	9839537	0.6596880620374056	4501969672
650846-M1-S2_BDSW190603078-1a_1	29220684	11146942	4383102600	6231373	0.5585002276697789	4358622962
650846-M1-S2_BDSW190603078-1a_2	29220684	11127370	4383102600	8158222	0.6245685191124661	4355727121
652934-M1-S1_BDSW190603079-1a_1	24159740	9119215	3623961000	14039585	0.9413855447119878	3589845555
652934-M1-S1_BDSW190603079-1a_2	24159740	9039120	3623961000	14741894	0.9887323566671937	3588129725
652934-M1-S2_BDSW190603080-1a_1	33476677	12666596	5021501550	6743761	0.5253533776167011	4995120922
652934-M1-S2_BDSW190603080-1a_2	33476677	12618773	5021501550	9116022	0.5908929172788964	4991829853
652934-M2-S1_BDSW190603081-1a_1	24853743	9456936	3728061450	10832102	0.7706253339788699	3699332064
652934-M2-S1_BDSW190603081-1a_2	24853743	9399478	3728061450	11821063	0.8227498235041163	3697388831
